"Toyama,_Toyama",Toyama_Prefecture
Hiroshima,Hiroshima_Prefecture
"Akita,_Akita",Akita_Prefecture
"Matsuyama,_Ehime",Ehime_Prefecture
Kumamoto,Kumamoto_Prefecture
"Saga,_Saga",Saga_Prefecture
Sendai,Miyagi_Prefecture
Port_Blair,Andaman_Islands
Osaka,Osaka_Prefecture
"Aomori,_Aomori",Aomori_Prefecture
Nagasaki,Nagasaki_Prefecture
Kyoto,Ashikaga_shogunate
Maebashi,Gunma_Prefecture
"Hakodate,_Hokkaido",Republic_of_Ezo
"Saitama,_Saitama",Saitama_Prefecture
"Niigata,_Niigata",Niigata_Prefecture
"Fukushima,_Fukushima",Fukushima_Prefecture
"Fukui,_Fukui",Fukui_Prefecture
"Tottori,_Tottori",Tottori_Prefecture
Sapporo,Hokkaido
"Miyazaki,_Miyazaki",Miyazaki_Prefecture
Weihai,Weihaiwei_under_British_rule
Pyongyang,North_Korea
Kagoshima,Kagoshima_Prefecture
"Nara,_Nara",Nara_Prefecture
"Tokushima,_Tokushima",Tokushima_Prefecture
Morioka,Iwate_Prefecture
Nagoya,Aichi_Prefecture
Naha,Okinawa_Prefecture
Kyoto,Kyoto_Prefecture
Dalian,Kwantung_Leased_Territory
Fukuoka,Fukuoka_Prefecture
"Mito,_Ibaraki",Ibaraki_Prefecture
"Chiba,_Chiba",Chiba_Prefecture
Honolulu,Hawaii
Occupation_of_Japan,Tokyo
Yokohama,Kanagawa_Prefecture
Tokyo,Japan
Okayama,Okayama_Prefecture
Utsunomiya,Tochigi_Prefecture
"Nagano,_Nagano",Nagano_Prefecture
"Yamaguchi,_Yamaguchi",Yamaguchi_Prefecture
"Shizuoka,_Shizuoka",Shizuoka_Prefecture
Maputo,Mozambique
"Tsu,_Mie",Mie_Prefecture
Manila,Philippines
Edo,Tokugawa_shogunate
Tokyo,Empire_of_Japan
