George_Washington,Martha_Washington
John_F._Kennedy,Jacqueline_Kennedy_Onassis
James_Madison,Dolley_Madison
Ferdinand_Marcos,Imelda_Marcos
Ulysses_S._Grant,Julia_Grant
Andrew_Jackson,Rachel_Jackson
George_H._W._Bush,Barbara_Bush
W._Averell_Harriman,Pamela_Harriman
George_W._Bush,Laura_Bush
Franklin_D._Roosevelt,Eleanor_Roosevelt
Presidency_of_Bill_Clinton,Hillary_Clinton
Bill_Clinton,Hillary_Clinton
Presidency_of_Ronald_Reagan,Jane_Wyman
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
Dwight_D._Eisenhower,Mamie_Eisenhower
Richard_Nixon,Pat_Nixon
Bill_Gates,Melinda_Gates
Presidency_of_Barack_Obama,Michelle_Obama
Sarah_Palin,Todd_Palin
Robert_F._Kennedy,Ethel_Kennedy
Presidency_of_Ronald_Reagan,Nancy_Reagan
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
