Bill_Clinton,Hillary_Clinton
George_Washington,Martha_Washington
James_Madison,Dolley_Madison
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Presidency_of_Barack_Obama,Michelle_Obama
W._Averell_Harriman,Pamela_Harriman
George_W._Bush,Laura_Bush
Ulysses_S._Grant,Julia_Grant
Robert_F._Kennedy,Ethel_Kennedy
Ferdinand_Marcos,Imelda_Marcos
Presidency_of_Ronald_Reagan,Nancy_Reagan
Herbert_Hoover,Lou_Henry_Hoover
Dwight_D._Eisenhower,Mamie_Eisenhower
Richard_Nixon,Pat_Nixon
John_F._Kennedy,Jacqueline_Kennedy_Onassis
George_H._W._Bush,Barbara_Bush
Jimmy_Carter,Rosalynn_Carter
Franklin_D._Roosevelt,Eleanor_Roosevelt
Presidency_of_Bill_Clinton,Hillary_Clinton
