George_Washington,Martha_Washington
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Ferdinand_Marcos,Imelda_Marcos
Ulysses_S._Grant,Julia_Grant
Richard_II_of_England,Anne_of_Bohemia
George_H._W._Bush,Barbara_Bush
W._Averell_Harriman,Pamela_Harriman
Presidency_of_Ronald_Reagan,Jane_Wyman
George_W._Bush,Laura_Bush
Franklin_D._Roosevelt,Eleanor_Roosevelt
Presidency_of_Bill_Clinton,Hillary_Clinton
Bill_Clinton,Hillary_Clinton
James_Madison,Dolley_Madison
Richard_III_of_England,Anne_Neville
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Ronald_Reagan,Jane_Wyman
Robert_F._Kennedy,Ethel_Kennedy
Dwight_D._Eisenhower,Mamie_Eisenhower
Richard_Nixon,Pat_Nixon
Nicolas_Sarkozy,Carla_Bruni
Presidency_of_Barack_Obama,Michelle_Obama
Sarah_Palin,Todd_Palin
Herbert_Hoover,Lou_Henry_Hoover
Presidency_of_Ronald_Reagan,Nancy_Reagan
Jimmy_Carter,Rosalynn_Carter
