Detroit,Michigan_Territory
"Chillicothe,_Ohio",Northwest_Territory
"Marietta,_Ohio",Northwest_Territory
"Washington,_D.C.",United_States
"Harrisburg,_Pennsylvania",Pennsylvania
"Jefferson_City,_Missouri",Missouri
"Corvallis,_Oregon",Oregon_Territory
"St._Augustine,_Florida",Florida_Territory
"Sacramento,_California",California
Indianapolis,Indiana
"Montgomery,_Alabama",Alabama
"Saint_Paul,_Minnesota",Minnesota
"Columbia,_South_Carolina",South_Carolina
"Charleston,_West_Virginia",West_Virginia
"Guthrie,_Oklahoma",Oklahoma_Territory
"Pensacola,_Florida",West_Florida
"St._Augustine,_Florida",East_Florida
"Annapolis,_Maryland",Maryland
"Olympia,_Washington",Washington_(state)
"Augusta,_Maine",Maine
"Boise,_Idaho",Idaho
"Lincoln,_Nebraska",Nebraska
Atlanta,Georgia_(U.S._state)
"Providence,_Rhode_Island",Rhode_Island
"Savannah,_Georgia",Province_of_Georgia
"Jackson,_Mississippi",Mississippi
"Salem,_Oregon",Oregon
"Madison,_Wisconsin",Wisconsin
"Richmond,_Virginia",Virginia
"Trenton,_New_Jersey",New_Jersey
"St._Augustine,_Florida",Spanish_Florida
Oklahoma_City,Oklahoma
"Juneau,_Alaska",Alaska
"Topeka,_Kansas",Kansas
"Frankfort,_Kentucky",Kentucky
"Salem,_Oregon",Oregon_Territory
"Knoxville,_Tennessee",Southwest_Territory
"Dover,_Delaware",Delaware
Honolulu,Hawaii
"Nashville,_Tennessee",Tennessee
"Lansing,_Michigan",Michigan
"Montpelier,_Vermont",Vermont
"Raleigh,_North_Carolina",North_Carolina
"Albany,_New_York",New_York
"Springfield,_Illinois",Illinois
"Little_Rock,_Arkansas",Arkansas
"Baton_Rouge,_Louisiana",Louisiana
"Austin,_Texas",Texas
"Phoenix,_Arizona",Arizona
"Columbus,_Ohio",Ohio
"Hartford,_Connecticut",Connecticut
